"","hgnc","ensembl_gene_id","entrez","chromosome","start_position","end_position","strand"
"3137","STON2","ENSG00000140022",85439,"14",81260652,81436465,"-"
"3138","TM4SF19-AS1","ENSG00000235897",100874214,"3",196318288,196325570,"+"
"3139","TM9SF2","ENSG00000125304",9375,"13",99446311,99564048,"+"
"3140","GTF2E2","ENSG00000197265",2961,"8",30578318,30658236,"-"
"3141","ATP10D","ENSG00000145246",57205,"4",47485275,47593486,"+"
"3142","105371453",NA,105371453,NA,NA,NA,NA
"3143","MBD5","ENSG00000204406",55777,"2",148021011,148516971,"+"
"3144","TMEM171","ENSG00000157111",134285,"5",73120569,73131809,"+"
"3145","CD300LF","ENSG00000186074",146722,"17",74694311,74712978,"-"
"3146","ACTR3B","ENSG00000133627",57180,"7",152759749,152855378,"+"
"3147","MLF1","ENSG00000178053",4291,"3",158571163,158607252,"+"
"3148","IL18R1","ENSG00000115604",8809,"2",102311529,102398777,"+"
"3149","SPEG","ENSG00000072195",10290,"2",219434843,219493629,"+"
"3150","RXRA","ENSG00000186350",6256,"9",134317098,134440585,"+"
"3151","DEDD","ENSG00000158796",9191,"1",161120974,161132688,"-"
"3152","114614",NA,114614,NA,NA,NA,NA
"3153","IKZF2","ENSG00000030419",22807,"2",212999691,213152427,"-"
"3154","MGAT4B","ENSG00000284501",11282,"5",179797597,179806952,"-"
"3155","MRPS15","ENSG00000116898",64960,"1",36455718,36464384,"-"
"3156","107986196",NA,107986196,NA,NA,NA,NA
"3157","CSAD","ENSG00000139631",51380,"12",53157663,53180925,"-"
"3158","CKAP5","ENSG00000175216",9793,"11",46743048,46846308,"-"
"3159","647033",NA,647033,NA,NA,NA,NA
"3160","BSCL2","ENSG00000168000",26580,"11",62689289,62709845,"-"
"3161","TGIF2-RAB5IF","ENSG00000259399",100527943,"20",36574553,36612384,"+"
"3162","SRSF4","ENSG00000116350",6429,"1",29147743,29181900,"-"
"3163","CDKN2AIPNL","ENSG00000237190",91368,"5",134402065,134411881,"-"
"3164","MRPL21","ENSG00000197345",219927,"11",68891276,68903835,"-"
"3165","KHDRBS2","ENSG00000112232",202559,"6",61630234,62286225,"-"
"3166","DDB1","ENSG00000167986",1642,"11",61299451,61342596,"-"
"3167","RPS26","ENSG00000197728",6231,"12",56041351,56044697,"+"
"3168","FTO","ENSG00000140718",79068,"16",53701692,54158512,"+"
"3169","MTM1","ENSG00000171100",4534,"X",150568417,150673143,"+"
"3170","CISD1","ENSG00000122873",55847,"10",58269162,58289586,"+"
"3171","MCRIP2","ENSG00000172366",84331,"16",636817,648474,"+"
"3172","ARHGEF9","ENSG00000131089",23229,"X",63634967,63809274,"-"
"3173","SWT1","ENSG00000116668",54823,"1",185157080,185291781,"+"
"3174","SERGEF","ENSG00000129158",26297,"11",17788048,18013047,"-"
"3175","NOP10","ENSG00000291996",55505,"15",34339159,34343180,"-"
"3176","RANBP1","ENSG00000099901",5902,"22",20115938,20127355,"+"
"3177","CCT7","ENSG00000135624",10574,"2",73233420,73253021,"+"
"3178","CCNG1","ENSG00000113328",900,"5",163437569,163448199,"+"
"3179","PPP6R3","ENSG00000110075",55291,"11",68460731,68615334,"+"
"3180","SLAMF1","ENSG00000117090",6504,"1",160608106,160647044,"-"
"3181","ILVBL","ENSG00000105135",10994,"19",15114984,15125786,"-"
"3182","BRD7","ENSG00000166164",29117,"16",50313487,50368988,"-"
"3183","CHKB","ENSG00000100288",1120,"22",50578959,50601455,"-"
"3184","101929021",NA,101929021,NA,NA,NA,NA
"3185","ZNF274","ENSG00000171606",10782,"19",58183029,58213562,"+"
"3186","MMP12","ENSG00000262406",4321,"11",102862736,102874982,"-"
"3187","ZBTB33","ENSG00000177485",10009,"X",120250752,120258398,"+"
"3188","BIVM","ENSG00000134897",54841,"13",102799119,102841533,"+"
"3189","TTC39B","ENSG00000155158",158219,"9",15163622,15307360,"-"
"3190","100008588",NA,100008588,NA,NA,NA,NA
"3191","ZNF75A","ENSG00000162086",7627,"16",3305406,3318852,"+"
"3192","PIK3CB","ENSG00000051382",5291,"3",138652336,138834928,"-"
"3193","L3HYPDH","ENSG00000126790",112849,"14",59460363,59484408,"-"
"3194","RMDN3","ENSG00000137824",55177,"15",40735884,40755851,"-"
"3195","RPS23","ENSG00000186468",6228,"5",82273320,82278396,"-"
"3196","ALKBH7","ENSG00000125652",84266,"19",6372794,6375250,"+"
"3197","100287227",NA,100287227,NA,NA,NA,NA
"3198","CTNS","ENSG00000040531",1497,"17",3636459,3663103,"+"
"3199","C5AR1","ENSG00000197405",728,"19",47290023,47322066,"+"
"3200","EML4-AS1","ENSG00000224875",102723824,"2",42142417,42170486,"-"
"3201","PLA2G2D","ENSG00000117215",26279,"1",20111939,20119566,"-"
"3202","CDK5","ENSG00000164885",1020,"7",151053815,151057897,"-"
"3203","REV3L","ENSG00000009413",5980,"6",111299028,111483715,"-"
"3204","107987147",NA,107987147,NA,NA,NA,NA
"3205","VPS35","ENSG00000069329",55737,"16",46656132,46689518,"-"
"3206","EGR1","ENSG00000120738",1958,"5",138465479,138469303,"+"
"3207","MICALL2","ENSG00000164877",79778,"7",1428465,1459470,"-"
"3208","SLC31A1","ENSG00000136868",1317,"9",113221544,113264492,"+"
"3209","MDH2","ENSG00000146701",4191,"7",76048051,76067508,"+"
"3210","C15orf48","ENSG00000166920",84419,"15",45430579,45448761,"+"
"3211","SLC3A1","ENSG00000138079",6519,"2",44275458,44321494,"+"
"3212","TBC1D14","ENSG00000132405",57533,"4",6909242,7033118,"+"
"3213","96610",NA,96610,NA,NA,NA,NA
"3214","THSD1","ENSG00000136114",55901,"13",52377167,52416373,"-"
"3215","LRRN4","ENSG00000125872",164312,"20",6040546,6054060,"-"
"3216","DNAJC10","ENSG00000077232",54431,"2",182716255,182794464,"+"
"3217","AKR7A2","ENSG00000053371",8574,"1",19301991,19312144,"-"
"3218","RHBDD1","ENSG00000144468",84236,"2",226835581,226999215,"+"
"3219","AGPAT1","ENSG00000236873",10554,"6",32168212,32178096,"-"
"3220","SYS1","ENSG00000204070",90196,"20",45361937,45376798,"+"
"3221","FXYD2","ENSG00000137731",486,"11",117800844,117828698,"-"
"3222","LGR4","ENSG00000205213",55366,"11",27365961,27472790,"-"
"3223","PGP","ENSG00000184207",283871,"16",2211593,2214840,"-"
"3224","MAN2A1","ENSG00000112893",4124,"5",109689927,109869625,"+"
"3225","DPCD","ENSG00000166171",25911,"10",101570560,101609662,"+"
"3226","COX7C","ENSG00000127184",1350,"5",86617928,86620962,"+"
"3227","ARID5B","ENSG00000150347",84159,"10",61901684,62096944,"+"
"3228","NBEA","ENSG00000172915",26960,"13",34942270,35673022,"+"
"3229","105372859",NA,105372859,NA,NA,NA,NA
"3230","100289511",NA,100289511,NA,NA,NA,NA
"3231","LINC00968","ENSG00000246430",100507632,"8",56494305,56560407,"-"
"3232","100534595",NA,100534595,NA,NA,NA,NA
"3233","NSUN7","ENSG00000179299",79730,"4",40749925,40811184,"+"
"3234","TMIGD3","ENSG00000121933",57413,"1",111483348,111563962,"-"
"3235","UBE2S","ENSG00000108106",27338,"19",55399745,55407788,"-"
"3236","MYO1G","ENSG00000136286",64005,"7",44962662,44979088,"-"
"3237","GRHPR","ENSG00000137106",9380,"9",37422666,37436990,"+"
"3238","ACOX1","ENSG00000161533",51,"17",75941507,75979177,"-"
"3239","PTPN22","ENSG00000134242",26191,"1",113813811,113871753,"-"
"3240","DENND4B","ENSG00000198837",9909,"1",153929501,153946718,"-"
"3241","ABHD6","ENSG00000163686",57406,"3",58237532,58295693,"+"
"3242","C4orf46","ENSG00000205208",201725,"4",158666675,158672255,"-"
"3243","SMG1","ENSG00000157106",23049,"16",18804860,18926408,"-"
"3244","ZNF714","ENSG00000160352",148206,"19",21082159,21125270,"+"
"3245","4578",NA,4578,NA,NA,NA,NA
"3246","PDIA6","ENSG00000143870",10130,"2",10783391,10837977,"-"
"3247","BCL6","ENSG00000113916",604,"3",187721377,187745725,"-"
"3248","B4GALT3","ENSG00000158850",8703,"1",161171310,161177968,"-"
"3249","TMEM161B-DT","ENSG00000247828",100505894,"5",88268843,88439337,"+"
"3250","LY86","ENSG00000112799",9450,"6",6588108,6654983,"+"
"3251","RPL7A","ENSG00000280858",6130,"9",133348218,133351426,"+"
"3252","WDHD1","ENSG00000198554",11169,"14",54938949,55027105,"-"
"3253","PIP4K2B","ENSG00000277292",8396,"17",38765691,38800126,"-"
"3254","RAPH1","ENSG00000173166",65059,"2",203394345,203535335,"-"
"3255","SULF2","ENSG00000196562",55959,"20",47656197,47786616,"-"
"3256","ACER2","ENSG00000177076",340485,"9",19409009,19452505,"+"
"3257","DARS2","ENSG00000117593",55157,"1",173824653,173858808,"+"
"3258","API5","ENSG00000166181",8539,"11",43311963,43344529,"+"
"3259","PLEKHA8","ENSG00000106086",84725,"7",30027404,30130483,"+"
"3260","PITPNM2","ENSG00000090975",57605,"12",122983480,123151090,"-"
"3261","B4GALT1-AS1","ENSG00000233554",101929639,"9",33166789,33182865,"+"
"3262","DHRS2","ENSG00000100867",10202,"14",23630115,23645639,"+"
"3263","MISP3","ENSG00000288191",113230,"19",14072536,14075062,"+"
"3264","ERLIN1","ENSG00000107566",10613,"10",100150094,100186033,"-"
"3265","FARSA","ENSG00000179115",2193,"19",12922479,12934037,"-"
"3266","LINC-PINT","ENSG00000231721",378805,"7",130791264,131110176,"-"
"3267","ALG3","ENSG00000214160",10195,"3",184242301,184249548,"-"
"3268","TNFSF15","ENSG00000181634",9966,"9",114784652,114806039,"-"
"3269","BNIP3","ENSG00000176171",664,"10",131967684,131981967,"-"
"3270","LGALS8-AS1","ENSG00000223776",100287902,"1",236523052,236524508,"-"
"3271","SERPINH1","ENSG00000149257",871,"11",75562056,75572783,"+"
"3272","SLC9A3","ENSG00000066230",6550,"5",470456,524449,"-"
"3273","CLEC19A","ENSG00000261210",728276,"16",19285731,19322145,"+"
"3274","PIK3R5-DT","ENSG00000266389",101928235,"17",8965781,8976995,"+"
"3275","MYH14","ENSG00000105357",79784,"19",50188186,50310542,"+"
"3276","ICMT","ENSG00000116237",23463,"1",6221193,6235972,"-"
"3277","IFT172","ENSG00000138002",26160,"2",27444377,27489805,"-"
"3278","TMUB2","ENSG00000168591",79089,"17",44186970,44191929,"+"
"3279","105371763",NA,105371763,NA,NA,NA,NA
"3280","SLC44A1","ENSG00000070214",23446,"9",105244622,105439171,"+"
"3281","PRRG1","ENSG00000130962",5638,"X",37349309,37492702,"+"
"3282","HLTF","ENSG00000071794",6596,"3",149030127,149086554,"-"
"3283","SLC22A23","ENSG00000137266",63027,"6",3268962,3457050,"-"
"3284","STRIP2","ENSG00000128578",57464,"7",129434432,129488399,"+"
"3285","C16orf89","ENSG00000153446",146556,"16",5044122,5066110,"-"
"3286","FHOD1","ENSG00000135723",29109,"16",67229387,67247481,"-"
"3287","TUBGCP6","ENSG00000128159",85378,"22",50217689,50245023,"-"
"3288","4563",NA,4563,NA,NA,NA,NA
"3289","TRIP12","ENSG00000153827",9320,"2",229763837,229923239,"-"
"3290","CTLA4","ENSG00000163599",1493,"2",203853888,203873965,"+"
"3291","VAC14","ENSG00000103043",55697,"16",70687439,70801160,"-"
"3292","DMWD","ENSG00000185800",1762,"19",45782947,45792845,"-"
"3293","MRPS10","ENSG00000048544",55173,"6",42206694,42217861,"-"
"3294","IL17RC","ENSG00000163702",84818,"3",9917074,9933630,"+"
"3295","SAXO4","ENSG00000162148",220004,"11",61481120,61490931,"+"
"3296","SYCP2L","ENSG00000153157",221711,"6",10886831,10979320,"+"
"3297","ELOC","ENSG00000154582",6921,"8",73939169,73972307,"-"
"3298","NRARP","ENSG00000198435",441478,"9",137299631,137302271,"-"
"3299","INPP5B","ENSG00000204084",3633,"1",37860697,37947053,"-"
"3300","H2AC20","ENSG00000184260",8338,"1",149886918,149887411,"+"
"3301","101928113",NA,101928113,NA,NA,NA,NA
"3302","NDUFS1","ENSG00000283447",4719,"2",206114817,206159509,"-"
"3303","TM4SF19","ENSG00000145107",116211,"3",196319342,196338503,"-"
"3304","NEDD1","ENSG00000139350",121441,"12",96907224,96953780,"+"
"3305","CCDC47","ENSG00000108588",57003,"17",63745255,63776351,"-"
"3306","SLC16A6","ENSG00000108932",9120,"17",68267026,68291267,"-"
"3307","PHB1","ENSG00000167085",5245,"17",49404049,49414905,"-"
"3308","GTF2A2","ENSG00000140307",2958,"15",59638062,59657541,"-"
"3309","105376517",NA,105376517,NA,NA,NA,NA
"3310","SAMD14","ENSG00000167100",201191,"17",50110040,50130160,"-"
"3311","THOP1","ENSG00000172009",7064,"19",2785503,2815807,"+"
"3312","TRPM2","ENSG00000142185",7226,"21",44350163,44443081,"+"
"3313","CEBPA-DT","ENSG00000267296",80054,"19",33301754,33305254,"+"
"3314","GPX8","ENSG00000164294",493869,"5",55160167,55167297,"+"
"3315","LRRK1","ENSG00000154237",79705,"15",100919327,101078257,"+"
"3316","ETV3","ENSG00000117036",2117,"1",157121191,157138474,"-"
"3317","ADAMTS8","ENSG00000134917",11095,"11",130404923,130428609,"-"
"3318","COPRS","ENSG00000172301",55352,"17",31851871,31859291,"-"
"3319","TICAM2","ENSG00000243414",353376,"5",115578496,115602479,"-"
"3320","C2CD5","ENSG00000111731",9847,"12",22448583,22544546,"-"
"3321","STX5","ENSG00000162236",6811,"11",62806860,62832051,"-"
"3322","LRP8","ENSG00000157193",7804,"1",53242364,53328469,"-"
"3323","RP2","ENSG00000102218",6102,"X",46837043,46882358,"+"
"3324","CFAP36","ENSG00000163001",112942,"2",55519604,55545079,"+"
"3325","105378281",NA,105378281,NA,NA,NA,NA
"3326","PPP1R18","ENSG00000230341",170954,"6",30676389,30687895,"-"
"3327","TPD52L1","ENSG00000111907",7164,"6",125119049,125264407,"+"
"3328","IL18BP","ENSG00000137496",10068,"11",71998613,72007315,"+"
"3329","MIR1244-2","ENSG00000283498",100422885,"5",118974586,118974670,"+"
"3330","ARHGAP11B","ENSG00000286139",89839,"15",30624494,30649529,"+"
"3331","DOP1B","ENSG00000142197",9980,"21",36156782,36294274,"+"
"3332","LGALS2","ENSG00000100079",3957,"22",37570248,37582616,"-"
"3333","TCEANC2","ENSG00000116205",127428,"1",54053584,54112519,"+"
"3334","BABAM2","ENSG00000158019",9577,"2",27889941,28338901,"+"
"3335","ADGRE2","ENSG00000127507",30817,"19",14732392,14778560,"-"
"3336","CXCL3","ENSG00000163734",2921,"4",74036589,74038807,"-"
"3337","SNRPD3","ENSG00000100028",6634,"22",24555958,24582052,"+"
"3338","RSRP1","ENSG00000117616",57035,"1",25242249,25338213,"-"
"3339","SLC18A2","ENSG00000165646",6571,"10",117241093,117279430,"+"
"3340","UROS","ENSG00000188690",7390,"10",125784980,125823288,"-"
"3341","DUBR","ENSG00000243701",344595,"3",107220744,107462923,"+"
"3342","CLTB","ENSG00000175416",1212,"5",176392501,176416539,"-"
"3343","SON","ENSG00000159140",6651,"21",33543038,33577481,"+"
"3344","101927070",NA,101927070,NA,NA,NA,NA
"3345","APTR","ENSG00000214293",100505854,"7",77657659,77697074,"-"
"3346","BCL2L11","ENSG00000153094",10018,"2",111119378,111168444,"+"
"3347","USP30","ENSG00000135093",84749,"12",109023089,109088023,"+"
"3348","JAK1","ENSG00000162434",3716,"1",64833223,65067754,"-"
"3349","PLS3","ENSG00000102024",5358,"X",115561174,115650861,"+"
"3350","CAPN3","ENSG00000092529",825,"15",42359498,42412949,"+"
"3351","OS9","ENSG00000135506",10956,"12",57693841,57728342,"+"
"3352","100534611",NA,100534611,NA,NA,NA,NA
"3353","CD81","ENSG00000110651",975,"11",2376177,2397802,"+"
"3354","LINC00607","ENSG00000235770",646324,"2",215611563,215925887,"-"
"3355","DNAJC13","ENSG00000138246",23317,"3",132417502,132539032,"+"
"3356","NOP58","ENSG00000055044",51602,"2",202265736,202303661,"+"
"3357","JPT2","ENSG00000206053",90861,"16",1678256,1702280,"+"
"3358","CCL4","ENSG00000277943",6351,"17",36103827,36105621,"+"
"3359","SESN1","ENSG00000080546",27244,"6",108984309,109094846,"-"
"3360","MRPL48","ENSG00000175581",51642,"11",73787872,73865133,"+"
"3361","COL4A2","ENSG00000134871",1284,"13",110305812,110513209,"+"
"3362","LMAN2L","ENSG00000114988",81562,"2",96705929,96740064,"-"
"3363","POP7","ENSG00000172336",10248,"7",100706121,100707486,"+"
"3364","RMC1","ENSG00000141452",29919,"18",23503496,23531822,"+"
"3365","KCNG2","ENSG00000178342",26251,"18",79797938,79900184,"+"
"3366","ENPP4","ENSG00000001561",22875,"6",46129989,46146688,"+"
"3367","BTF3","ENSG00000145741",689,"5",73498408,73505667,"+"
"3368","GPER1","ENSG00000164850",2852,"7",1082208,1093815,"+"
"3369","4567",NA,4567,NA,NA,NA,NA
"3370","ZNF689","ENSG00000156853",115509,"16",30602558,30624012,"-"
"3371","STAC","ENSG00000144681",6769,"3",36380503,36548007,"+"
"3372","RIN3","ENSG00000100599",79890,"14",92513781,92688994,"+"
"3373","CUTC","ENSG00000119929",51076,"10",99702558,99756134,"+"
"3374","BMP7","ENSG00000101144",655,"20",57168753,57266641,"-"
"3375","UNG","ENSG00000076248",7374,"12",109097597,109126725,"+"
"3376","ZNF664","ENSG00000179195",144348,"12",123971845,124015439,"+"
"3377","NRBP1","ENSG00000115216",29959,"2",27427790,27442259,"+"
"3378","TLR1","ENSG00000174125",7096,"4",38787555,38856817,"-"
"3379","THAP12","ENSG00000137492",5612,"11",76349898,76381132,"-"
"3380","FBRSL1","ENSG00000112787",57666,"12",132489551,132585188,"+"
"3381","ANKMY2","ENSG00000106524",57037,"7",16599779,16645817,"-"
"3382","NMD3","ENSG00000169251",51068,"3",161104696,161253532,"+"
"3383","FLOT1","ENSG00000223654",10211,"6",30727709,30742732,"-"
"3384","HNMT","ENSG00000150540",3176,"2",137964020,138016364,"+"
"3385","SQOR","ENSG00000137767",58472,"15",45631148,45691281,"+"
"3386","PPT1","ENSG00000131238",5538,"1",40072710,40097260,"-"
"3387","KCTD6","ENSG00000168301",200845,"3",58492096,58502360,"+"
"3388","KCNJ12","ENSG00000184185",3768,"17",21376357,21419870,"+"
"3389","MTCH2","ENSG00000285121",23788,"11",47617315,47642607,"-"
"3390","PIK3R1","ENSG00000145675",5295,"5",68215740,68301821,"+"
"3391","PPP1R16A","ENSG00000160972",84988,"8",144477969,144502121,"+"
"3392","RCL1","ENSG00000120158",10171,"9",4792944,4885917,"+"
"3393","GET1-SH3BGR","ENSG00000285815",106865373,"21",39380332,39515506,"+"
"3394","SLC25A39","ENSG00000013306",51629,"17",44319625,44324870,"-"
"3395","TFDP1","ENSG00000198176",7027,"13",113584721,113641473,"+"
"3396","PRKAR2A","ENSG00000114302",5576,"3",48744597,48847874,"-"
"3397","GSTM3","ENSG00000134202",2947,"1",109733932,109741038,"-"
"3398","PHLDA1","ENSG00000139289",22822,"12",76025447,76031776,"-"
"3399","CATSPERG","ENSG00000099338",57828,"19",38335775,38370943,"+"
"3400","TMEM192","ENSG00000170088",201931,"4",165070608,165208549,"-"
"3401","S100Z","ENSG00000171643",170591,"5",76850001,76921650,"+"
"3402","HGS","ENSG00000185359",9146,"17",81683326,81703138,"+"
"3403","SPAG1","ENSG00000104450",6674,"8",100157906,100259278,"+"
"3404","105370854",NA,105370854,NA,NA,NA,NA
"3405","C22orf15","ENSG00000273579",150248,"22",23762990,23765863,"+"
"3406","NDC80","ENSG00000080986",10403,"18",2571557,2616635,"+"
"3407","ARHGAP26","ENSG00000145819",23092,"5",142770377,143229011,"+"
"3408","MTG1","ENSG00000148824",92170,"10",133394094,133422520,"+"
"3409","606551",NA,606551,NA,NA,NA,NA
"3410","MOCOS","ENSG00000075643",55034,"18",36187497,36272157,"+"
"3411","PRCP","ENSG00000137509",5547,"11",82822936,82970584,"-"
"3412","SKAP2","ENSG00000005020",8935,"7",26667068,26995239,"-"
"3413","FBXO34","ENSG00000178974",55030,"14",55271344,55370053,"+"
"3414","NTHL1","ENSG00000065057",4913,"16",2039815,2047866,"-"
"3415","MOAP1","ENSG00000165943",64112,"14",93182199,93184923,"-"
"3416","PTDSS1","ENSG00000156471",9791,"8",96261902,96336995,"+"
"3417","DUSP23","ENSG00000158716",54935,"1",159780932,159782543,"+"
"3418","NCKAP1","ENSG00000061676",10787,"2",182909115,183038858,"-"
"3419","PNPLA6","ENSG00000032444",10908,"19",7534004,7561764,"+"
"3420","MAP4","ENSG00000047849",4134,"3",47850690,48089272,"-"
"3421","REEP4","ENSG00000168476",80346,"8",22138020,22141951,"-"
"3422","SLC47A1","ENSG00000142494",55244,"17",19495385,19579034,"+"
"3423","RPS3","ENSG00000149273",6188,"11",75399515,75422280,"+"
"3424","MSANTD1","ENSG00000188981",345222,"4",3244369,3271738,"+"
"3425","MATK","ENSG00000007264",4145,"19",3777970,3802129,"-"
"3426","GTF2H3","ENSG00000111358",2967,"12",123633739,123662604,"+"
"3427","LCP1","ENSG00000136167",3936,"13",46125920,46211871,"-"
"3428","ZNF271P","ENSG00000293516",10778,"18",35267592,35328390,"+"
"3429","WIPI1","ENSG00000070540",55062,"17",68420948,68457513,"-"
"3430","MRPL4","ENSG00000105364",51073,"19",10251901,10260055,"+"
"3431","SRSF5","ENSG00000100650",6430,"14",69726900,69772005,"+"
"3432","KAT14","ENSG00000149474",57325,"20",18137228,18188387,"+"
"3433","SIL1","ENSG00000120725",64374,"5",138946724,139293557,"-"
"3434","RAC2","ENSG00000128340",5880,"22",37225270,37259594,"-"
"3435","VBP1","ENSG00000155959",7411,"X",155197007,155239841,"+"
"3436","100506691",NA,100506691,NA,NA,NA,NA
"3437","EZR-AS1","ENSG00000233893",101409257,"6",158817979,158822252,"+"
"3438","ZSWIM6","ENSG00000130449",57688,"5",61332258,61546172,"+"
"3439","APRT","ENSG00000198931",353,"16",88809339,88811937,"-"
"3440","NR2F6","ENSG00000160113",2063,"19",17231883,17245919,"-"
"3441","SPEN","ENSG00000065526",23013,"1",15836095,15940456,"+"
"3442","PLEKHM2","ENSG00000116786",23207,"1",15684320,15734769,"+"
"3443","DNAJC8","ENSG00000126698",22826,"1",28199456,28233029,"-"
"3444","APLP1","ENSG00000105290",333,"19",35867899,35879803,"+"
"3445","TRIM52-AS1","ENSG00000248275",100507602,"5",181246463,181295573,"+"
"3446","TAX1BP1","ENSG00000106052",8887,"7",27739331,27844564,"+"
"3447","SLC25A10","ENSG00000183048",1468,"17",81712236,81721016,"+"
"3448","CLCN5","ENSG00000171365",1184,"X",49922596,50099235,"+"
"3449","MRNIP","ENSG00000283918",51149,"5",179835133,179862173,"-"
"3450","C1orf35","ENSG00000143793",79169,"1",228100726,228105411,"-"
"3451","HDAC10","ENSG00000100429",83933,"22",50245183,50251405,"-"
"3452","BIRC3","ENSG00000023445",330,"11",102317484,102339403,"+"
"3453","TFB2M","ENSG00000162851",64216,"1",246540561,246566261,"-"
"3454","DOK2","ENSG00000147443",9046,"8",21908873,21913690,"-"
"3455","SLC38A2","ENSG00000134294",54407,"12",46358188,46372773,"-"
"3456","LRRC37A3","ENSG00000275621",374819,"17",64854130,64919480,"-"
"3457","CYSLTR1","ENSG00000173198",10800,"X",78271468,78327691,"-"
"3458","DTYMK","ENSG00000168393",1841,"2",241675747,241686944,"-"
"3459","APEX2","ENSG00000169188",27301,"X",55000363,55009057,"+"
"3460","ADAT2","ENSG00000189007",134637,"6",143422832,143450695,"-"
"3461","SYNJ2","ENSG00000078269",8871,"6",157981863,158099176,"+"
"3462","DLEU2","ENSG00000231607",8847,"13",49956669,50126118,"-"
"3463","CENPI","ENSG00000102384",2491,"X",101098188,101166126,"+"
"3464","SFMBT1","ENSG00000163935",51460,"3",52903572,53046750,"-"
"3465","PTTG1IP","ENSG00000183255",754,"21",44849585,44873903,"-"
"3466","RPP14","ENSG00000163684",11102,"3",58306245,58324695,"+"
"3467","MINDY1","ENSG00000143409",55793,"1",150996549,151008376,"-"
"3468","MTFMT","ENSG00000103707",123263,"15",65001512,65029639,"-"
"3469","WDR62","ENSG00000075702",284403,"19",36054649,36105108,"+"
"3470","RGL2","ENSG00000237825",5863,"6",33291654,33298942,"-"
"3471","FA2H","ENSG00000103089",79152,"16",74712955,74774831,"-"
"3472","ERRFI1","ENSG00000116285",54206,"1",8004404,8026309,"-"
"3473","RANBP2","ENSG00000153201",5903,"2",108719482,108785810,"+"
"3474","MTFR1","ENSG00000066855",9650,"8",65644734,65771261,"+"
"3475","HMGA2","ENSG00000149948",8091,"12",65824460,65966291,"+"
"3476","GRB2","ENSG00000177885",2885,"17",75318076,75405709,"-"
"3477","SIGLEC14","ENSG00000254415",100049587,"19",51639478,51646825,"-"
"3478","CWF19L1","ENSG00000095485",55280,"10",100232298,100267680,"-"
"3479","FOXM1","ENSG00000111206",2305,"12",2857680,2877174,"-"
"3480","SEMA4F","ENSG00000135622",10505,"2",74654226,74690634,"+"
"3481","TUSC2","ENSG00000114383",11334,"3",50320027,50328251,"-"
"3482","ZNF230","ENSG00000159882",7773,"19",44002957,44013924,"+"
"3483","CD36","ENSG00000135218",948,"7",80369575,80679277,"+"
"3484","CSF2RA","ENSG00000292357",1438,"Y",1268793,1325373,"+"
"3485","STYXL2","ENSG00000198842",92235,"1",167094075,167129165,"+"
"3486","ASNSD1","ENSG00000138381",54529,"2",189661385,189670831,"+"
"3487","ADGRA3","ENSG00000152990",166647,"4",22345071,22516066,"-"
"3488","TRABD","ENSG00000170638",80305,"22",50185913,50199598,"+"
"3489","SPIN4","ENSG00000186767",139886,"X",63347228,63351332,"-"
"3490","EBI3","ENSG00000105246",10148,"19",4229523,4237528,"+"
"3491","ISM1","ENSG00000101230",140862,"20",13221274,13300651,"+"
"3492","APH1A","ENSG00000117362",51107,"1",150265399,150269580,"-"
"3493","C22orf23","ENSG00000128346",84645,"22",37943050,37953669,"-"
"3494","SLC38A6","ENSG00000139974",145389,"14",60981114,61114316,"+"
"3495","TOP1","ENSG00000198900",7150,"20",41028822,41124487,"+"
"3496","PIK3CD-AS1","ENSG00000179840",644997,"1",9652610,9654586,"-"
"3497","SPMIP11","ENSG00000257987",255411,"12",48727435,48765790,"+"
"3498","ADCY6","ENSG00000174233",112,"12",48766194,48789089,"-"
"3499","RBBP9","ENSG00000089050",10741,"20",18486540,18497225,"-"
"3500","ZNF850","ENSG00000267041",342892,"19",36714383,36772825,"-"
"3501","AMIGO1","ENSG00000181754",57463,"1",109504178,109509738,"-"
"3502","ALDH5A1","ENSG00000112294",7915,"6",24494867,24537207,"+"
"3503","CNOT6L","ENSG00000138767",246175,"4",77713387,77819615,"-"
"3504","TRABD2A","ENSG00000186854",105374836,"2",84821650,84907008,"-"
"3505","SP1","ENSG00000185591",6667,"12",53380176,53416446,"+"
"3506","SNX33","ENSG00000173548",257364,"15",75647912,75662301,"+"
"3507","RAB31","ENSG00000168461",11031,"18",9708275,9862551,"+"
"3508","ADAMTS12","ENSG00000151388",81792,"5",33523535,33892019,"-"
"3509","ASB14","ENSG00000239388",142686,"3",57268342,57292685,"-"
"3510","CMAHP","ENSG00000293489",8418,"6",25061611,25452263,"-"
"3511","SPRYD4","ENSG00000176422",283377,"12",56468578,56479708,"+"
"3512","ESYT1","ENSG00000139641",23344,"12",56118250,56144674,"+"
"3513","DROSHA","ENSG00000113360",29102,"5",31400494,31532196,"-"
"3514","TGM2","ENSG00000198959",7052,"20",38127385,38166578,"-"
"3515","4565",NA,4565,NA,NA,NA,NA
"3516","PFN2","ENSG00000070087",5217,"3",149964904,150050788,"-"
"3517","PVR","ENSG00000073008",5817,"19",44643798,44666162,"+"
"3518","PHF8","ENSG00000172943",23133,"X",53936676,54048958,"-"
"3519","GAPT","ENSG00000175857",202309,"5",58491435,58497090,"+"
"3520","RNF122","ENSG00000133874",79845,"8",33547754,33567128,"-"
